R_ID,CHANNEL,SEGMENT,DATE,SALE
AC001,Wholesale,Chocolates,1/1/2024,1175870.23
AC001,DTC,Chocolates,1/1/2024,760251.05
AC001,Wholesale,Chocolates,1/2/2024,957505.48
AC001,DTC,Chocolates,1/2/2024,837179.12
AC001,Wholesale,Chocolates,1/3/2024,893322.36
AC001,DTC,Chocolates,1/3/2024,796426.34
AC001,Wholesale,Chocolates,1/4/2024,1192256.7
AC001,DTC,Chocolates,1/4/2024,871121.64
AC001,Wholesale,Chocolates,1/5/2024,1196903.03
AC001,DTC,Chocolates,1/5/2024,768438.38
AC001,Wholesale,Chocolates,1/6/2024,1249121.25
AC001,DTC,Chocolates,1/6/2024,943166.98
AC001,Wholesale,Chocolates,1/7/2024,1378591.89
AC001,DTC,Chocolates,1/7/2024,992378.77
AC001,Wholesale,Chocolates,1/8/2024,1120180.51
AC001,DTC,Chocolates,1/8/2024,724570.83
AC001,Wholesale,Chocolates,1/9/2024,976615.91
AC001,DTC,Chocolates,1/9/2024,652386.4
AC001,Wholesale,Chocolates,1/10/2024,1093605.85
AC001,DTC,Chocolates,1/10/2024,864194.08
AC001,Wholesale,Chocolates,1/11/2024,944497.87
AC001,DTC,Chocolates,1/11/2024,751777.6
AC001,Wholesale,Chocolates,1/12/2024,1013137.4
AC001,DTC,Chocolates,1/12/2024,769390.64
AC001,Wholesale,Chocolates,1/13/2024,1216137.75
AC001,DTC,Chocolates,1/13/2024,792078
AC001,Wholesale,Chocolates,1/14/2024,1243928.49
AC001,DTC,Chocolates,1/14/2024,1004449.76
AC001,Wholesale,Chocolates,1/15/2024,1201168.62
AC001,DTC,Chocolates,1/15/2024,864950.52
AC001,Wholesale,Chocolates,1/16/2024,1073913.34
AC001,DTC,Chocolates,1/16/2024,861728.82
AC001,Wholesale,Chocolates,1/17/2024,1175213.3
AC001,DTC,Chocolates,1/17/2024,795056.87
AC001,Wholesale,Chocolates,1/18/2024,1025608.6
AC001,DTC,Chocolates,1/18/2024,782852.5
AC001,Wholesale,Chocolates,1/19/2024,1043386.58
AC001,DTC,Chocolates,1/19/2024,688626.35
AC001,Wholesale,Chocolates,1/20/2024,1379219.16
AC001,DTC,Chocolates,1/20/2024,866173.4
AC001,Wholesale,Chocolates,1/21/2024,1342194.61
AC001,DTC,Chocolates,1/21/2024,957172.66
AC001,Wholesale,Chocolates,1/22/2024,1041285.63
AC001,DTC,Chocolates,1/22/2024,765768.62
AC001,Wholesale,Chocolates,1/23/2024,1003312.45
AC001,DTC,Chocolates,1/23/2024,841622.07
AC001,Wholesale,Chocolates,1/24/2024,986174.02
