RETAILER,REGION,CHANNEL,SEGMENT,DATE,SALE
Costco,America,Wholesale,Chocolates,2024-01-01,1175870.23
Costco,America,DTC,Chocolates,2024-01-01,760251.05
Costco,America,Wholesale,Chocolates,2024-01-02,957505.48
Costco,America,DTC,Chocolates,2024-01-02,837179.12
Costco,America,Wholesale,Chocolates,2024-01-03,893322.36
Costco,America,DTC,Chocolates,2024-01-03,796426.34
Costco,America,Wholesale,Chocolates,2024-01-04,1192256.70
Costco,America,DTC,Chocolates,2024-01-04,871121.64
Costco,America,Wholesale,Chocolates,2024-01-05,1196903.03
Costco,America,DTC,Chocolates,2024-01-05,768438.38
Costco,America,Wholesale,Chocolates,2024-01-06,1249121.25
Costco,America,DTC,Chocolates,2024-01-06,943166.98
Costco,America,Wholesale,Chocolates,2024-01-07,1378591.89
Costco,America,DTC,Chocolates,2024-01-07,992378.77
Costco,America,Wholesale,Chocolates,2024-01-08,1120180.51
Costco,America,DTC,Chocolates,2024-01-08,724570.83
Costco,America,Wholesale,Chocolates,2024-01-09,976615.91
Costco,America,DTC,Chocolates,2024-01-09,652386.40
Costco,America,Wholesale,Chocolates,2024-01-10,1093605.85
Costco,America,DTC,Chocolates,2024-01-10,864194.08
Costco,America,Wholesale,Chocolates,2024-01-11,944497.87
Costco,America,DTC,Chocolates,2024-01-11,751777.60
Costco,America,Wholesale,Chocolates,2024-01-12,1013137.40
Costco,America,DTC,Chocolates,2024-01-12,769390.64
Costco,America,Wholesale,Chocolates,2024-01-13,1216137.75
Costco,America,DTC,Chocolates,2024-01-13,792078.00
Costco,America,Wholesale,Chocolates,2024-01-14,1243928.49
Costco,America,DTC,Chocolates,2024-01-14,1004449.76
Costco,America,Wholesale,Chocolates,2024-01-15,1201168.62
Costco,America,DTC,Chocolates,2024-01-15,864950.52
Costco,America,Wholesale,Chocolates,2024-01-16,1073913.34
Costco,America,DTC,Chocolates,2024-01-16,861728.82
Costco,America,Wholesale,Chocolates,2024-01-17,1175213.30
Costco,America,DTC,Chocolates,2024-01-17,795056.87
Costco,America,Wholesale,Chocolates,2024-01-18,1025608.60
Costco,America,DTC,Chocolates,2024-01-18,782852.50
Costco,America,Wholesale,Chocolates,2024-01-19,1043386.58
Costco,America,DTC,Chocolates,2024-01-19,688626.35
Costco,America,Wholesale,Chocolates,2024-01-20,1379219.16
Costco,America,DTC,Chocolates,2024-01-20,866173.40
Costco,America,Wholesale,Chocolates,2024-01-21,1342194.61
Costco,America,DTC,Chocolates,2024-01-21,957172.66
Costco,America,Wholesale,Chocolates,2024-01-22,1041285.63
Costco,America,DTC,Chocolates,2024-01-22,765768.62
Costco,America,Wholesale,Chocolates,2024-01-23,1003312.45
Costco,America,DTC,Chocolates,2024-01-23,841622.07
Costco,America,Wholesale,Chocolates,2024-01-24,986174.02
Costco,America,DTC,Chocolates,2024-01-24,741293.16
Costco,America,Wholesale,Chocolates,2024-01-25,930079.34
Costco,America,DTC,Chocolates,2024-01-25,727344.37
Costco,America,Wholesale,Chocolates,2024-01-26,1161270.21
Costco,America,DTC,Chocolates,2024-01-26,815557.48
Costco,America,Wholesale,Chocolates,2024-01-27,1313034.92
